"Date","Cost per Mb","Cost per Genome"
"Sep-01","$5,292.39","$95,263,072"
"Mar-02","$3,898.64","$70,175,437"
"Sep-02","$3,413.80","$61,448,422"
"Mar-03","$2,986.20","$53,751,684"
"Oct-03","$2,230.98","$40,157,554"
"Jan-04","$1,598.91","$28,780,376"
"Apr-04","$1,135.70","$20,442,576"
"Jul-04","$1,107.46","$19,934,346"
"Oct-04","$1,028.85","$18,519,312"
"Jan-05","$974.16","$17,534,970"
"Apr-05","$897.76","$16,159,699"
"Jul-05","$898.90","$16,180,224"
"Oct-05","$766.73","$13,801,124"
"Jan-06","$699.20","$12,585,659"
"Apr-06","$651.81","$11,732,535"
"Jul-06","$636.41","$11,455,315"
"Oct-06","$581.92","$10,474,556"
"Jan-07","$522.71","$9,408,739"
"Apr-07","$502.61","$9,047,003"
"Jul-07","$495.96","$8,927,342"
"Oct-07","$397.09","$7,147,571"
"Jan-08","$102.13","$3,063,820"
"Apr-08","$15.03","$1,352,982"
"Jul-08","$8.36","$752,080"
"Oct-08","$3.81","$342,502"
"Jan-09","$2.59","$232,735"
"Apr-09","$1.72","$154,714"
"Jul-09","$1.20","$108,065"
"Oct-09","$0.78","$70,333"
"Jan-10","$0.52","$46,774"
"Apr-10","$0.35","$31,512"
"Jul-10","$0.35","$31,125"
"Oct-10","$0.32","$29,092"
"Jan-11","$0.23","$20,963"
"Apr-11","$0.19","$16,712"
"Jul-11","$0.12","$10,497"
"Oct-11","$0.09","$7,743"
"Jan-12","$0.09","$7,666"
"Apr-12","$0.07","$5,901"
"Jul-12","$0.07","$5,985"
"Oct-12","$0.07","$6,618"
"Jan-13","$0.06","$5,671"
"Apr-13","$0.06","$5,826"
"Jul-13","$0.06","$5,550"
"Oct-13","$0.06","$5,096"
"Jan-14","$0.04","$4,008"
"Apr-14","$0.05","$4,920"
"Jul-14","$0.05","$4,905"
"Oct-14","$0.06","$5,731"
"Jan-15","$0.04","$3,970"
"Apr-15","$0.05","$4,211"
"Jul-15","$0.015","$1,363"
"Oct-15","$0.014","$1,245"
